x,y
"1,0035","0,46187"
"0,93228","0,39066"
"0,86911","0,32616"
"0,77503","0,22404"
"0,74949","0,17567"
"0,71589","0,12865"
"0,69035","0,12999"
"0,6675","0,14611"
"0,67019","0,2133"
"0,69573","0,2657"
"0,74277","0,35572"
"0,72798","0,42156"
"0,64465","0,44843"
"0,48336","0,41081"
"0,36508","0,37722"
"0,33148","0,37184"
"0,29116","0,37184"
"0,27099","0,38931"
"0,27099","0,41887"
"0,30863","0,44171"
"0,34492","0,45112"
"0,46185","0,49277"
"0,55997","0,55324"
"0,44707","0,57876"
"0,31401","0,60564"
"0,26965","0,61504"
"0,23202","0,62445"
"0,21723","0,66207"
"0,23336","0,68894"
"0,28309","0,6876"
"0,32745","0,67551"
"0,45917","0,6661"
"0,56804","0,66341"
"0,50352","0,72791"
"0,39331","0,79778"
"0,3597","0,81256"
"0,32745","0,8354"
"0,32745","0,87168"
"0,3503","0,8878"
"0,39062","0,87571"
"0,41884","0,85958"
"0,54788","0,79912"
"0,63927","0,76419"
"0,60164","0,82599"
"0,55325","0,87436"
"0,51427","0,90527"
"0,49142","0,93751"
"0,4968","0,9617"
"0,51696","0,96842"
"0,5546","0,95229"
"0,59895","0,92542"
"0,65272","0,87302"
"0,74008","0,81659"
"0,81938","0,79912"
"0,91212","0,783"
"0,99142","0,75612"
