Date,Category,Description,DayOfWeek,PdDistrict,Resolution
2013-09-03 8:00:00,BURGLARY,BURGLARY OF APARTMENT HOUSE; UNLAWFUL ENTRY,Tuesday,INGLESIDE,NONE
2009-10-27 8:00:00,OTHER OFFENSES,RESISTING ARREST,Tuesday,BAYVIEW,NONE
2008-06-11 12:25:00,LARCENY\/THEFT,GRAND THEFT OF PROPERTY,Wednesday,SOUTHERN,NONE
2013-06-02 21:15:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,MISSION,NONE
2008-11-15 11:25:00,ASSAULT,THREATS AGAINST LIFE,Saturday,TENDERLOIN,"ARREST, BOOKED"
2005-06-29 9:49:00,OTHER OFFENSES,RESISTING ARREST,Wednesday,NORTHERN,"ARREST, BOOKED"
2014-11-13 14:18:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,MISSION,"ARREST, BOOKED"
2007-02-07 10:05:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,MISSION,NONE
2008-06-15 10:00:00,LARCENY\/THEFT,PETTY THEFT FROM A BUILDING,Sunday,CENTRAL,NONE
2007-07-09 13:00:00,NON-CRIMINAL,AIDED CASE; MENTAL DISTURBED,Monday,INGLESIDE,NONE
2009-11-09 13:00:00,LARCENY\/THEFT,GRAND THEFT FROM A BUILDING,Monday,MISSION,NONE
2005-12-30 17:30:00,VEHICLE THEFT,VEHICLE; RECOVERED; AUTO,Friday,INGLESIDE,NONE
2005-05-21 17:16:00,NON-CRIMINAL,AIDED CASE,Saturday,TENDERLOIN,NONE
2003-03-31 10:25:00,OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Monday,INGLESIDE,NONE
2007-06-11 12:35:00,OTHER OFFENSES,DRIVERS LICENSE; SUSPENDED OR REVOKED,Monday,SOUTHERN,"ARREST, CITED"
2014-10-31 10:00:00,LARCENY\/THEFT,PETTY THEFT OF PROPERTY,Friday,TARAVAL,NONE
2014-02-21 7:15:00,NON-CRIMINAL,LOST PROPERTY,Friday,CENTRAL,NONE
2013-08-24 1:30:00,LARCENY\/THEFT,GRAND THEFT FROM PERSON,Saturday,NORTHERN,NONE
2008-02-07 21:10:00,DRUG\/NARCOTIC,SALE OF BASE\/ROCK COCAINE,Thursday,TENDERLOIN,"ARREST, BOOKED"
2013-05-17 13:45:00,OTHER OFFENSES,DRIVERS LICENSE; SUSPENDED OR REVOKED,Friday,BAYVIEW,"ARREST, CITED"
2008-08-08 23:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,TARAVAL,NONE
2012-12-15 4:30:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Saturday,NORTHERN,"ARREST, CITED"
2006-03-23 22:30:00,VANDALISM,MALICIOUS MISCHIEF; VANDALISM OF VEHICLES,Thursday,BAYVIEW,NONE
2009-04-03 15:32:00,WARRANTS,ENROUTE TO PAROLE OFFICER,Friday,TENDERLOIN,"ARREST, BOOKED"
