country	total	%ICT	Formula	ICT
Sweden	39400	6,4	2521,6000000006	2522
Hungary	9800	5,7	560,56	561
UK	29000	5,5	1595	1595
Finland	34900	5,2	1814,8	1815
Bulgaria	5200	4,9	255,32	255
Estonia	11000	4,8	526,9	527
Denmark	43800	4,7	2041,08	2041
Slovakia	12400	4,7	577,84	578
Croatia	10500	4,6	487,2	487
Belgium	33500	4,5	1500,8	1501
Czech Rep	14900	4,4	660,07	660
France	30800	4,0	1241,24	1241
Germany	32100	3,9	1245,48	1245
Latvia	8500	3,6	301,75	302
Slovenia	17700	3,5	621,27	621
Portugal	17000	3,5	588,2	588
Spain	23200	3,4	793,44	793
Norway	66200	3,4	2230,94	2231
Poland	9400	3,2	298,92	299
Austria	35200	3,1	1101,76	1102
Romania	6300	3,1	194,67	195
Lithuania	9000	2,4	216,9	217
Greece	20300	2,1	432,39	432
