YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,-4,1.6,7.4,9.7,12.4,15.4,20.4,17.5,15.5,11.1,5.9,5.5,-1,9.8,17.8,10.8,9.35
1881,-1.7,3.3,6.7,9,12.9,17,22.4,19.4,12.9,6.7,5.7,0.5,2.4,9.5,19.6,8.4,9.98
1882,-0.2,1.7,7.1,9.1,13.5,15.8,17.2,17,12.9,10.3,6,2,0.7,9.9,16.7,9.7,9.24
1883,1.7,4,2,8.3,13.7,16.2,17.7,17.7,13.9,8.5,5.5,0.5,2.6,8,17.2,9.3,9.27
1884,2.7,3.9,6.8,8.6,14.7,14.8,20,19.2,15,8.9,2.7,2.4,2.4,10,18,8.9,9.82
1885,-2.1,4.8,5.5,9.6,11.6,18.1,20.5,18.7,13.9,8.4,5.7,1.9,1.7,8.9,19.1,9.3,9.76
1886,-0.9,-0.2,4.5,10.5,13.5,16.1,19.8,18.6,17,10.5,5.7,2.3,0.3,9.5,18.2,11.1,9.75
1887,-2.5,-0.8,2.4,8.7,11,18.1,21.3,18.5,13.9,6.4,3.5,0.7,-0.3,7.4,19.3,7.9,8.57
1888,-1.5,-0.9,4.1,7.2,14.7,17.6,17,17.1,15.5,6.8,5.6,0.6,-0.6,8.7,17.2,9.3,8.66
1889,-0.6,-0.1,2.9,8.1,14.3,17.9,18.6,17.6,13.5,8.9,4.4,-1.3,0,8.4,18,8.9,8.84
1890,1.2,-1.1,4.6,8.3,14,16.7,17.8,17.8,13.6,7.7,3.7,-3.4,-0.4,9,17.4,8.3,8.58
1891,-4.7,-1.3,4.5,7.3,13.1,16.8,18.3,17.4,14.9,10.5,4.4,2.2,-3.1,8.3,17.5,9.9,8.15
1892,-0.1,2.3,2.4,9.6,13.5,18,18.4,19.3,15.5,9.1,6.4,-0.7,1.5,8.5,18.6,10.3,9.72
1893,-4,2.9,6.5,12.4,13.9,17.8,19.4,20.1,15.2,10.9,4.4,0.7,-0.6,10.9,19.1,10.2,9.9
1894,-0.7,2.2,5.7,11.1,12.7,16.4,19.4,17.7,13.8,10.2,5.9,0.7,0.7,9.8,17.8,10,9.59
1895,-3.6,-4.9,2.8,9.9,13.2,17.2,19.8,18.2,17.3,9.5,7.6,2.3,-2.6,8.6,18.4,11.5,8.97
